year,month,day,hour,min,sec,ms,id,data
0,0,0,0,7,20,792,0cfffb48,0000000000000000
0,0,0,0,7,20,802,0cfff048,000000000e016400
0,0,0,0,7,20,802,0cfffc48,0000000000000000
0,0,0,0,7,20,812,0cfff148,be05be05000000ff
0,0,0,0,7,20,812,0cfffd48,e8035b050004e803
0,0,0,0,7,20,822,0cfffe48,e903e803ffffffff
0,0,0,0,7,20,833,0cffd048,0000000000000000
0,0,0,0,7,20,852,0cfff048,000000000e016400
0,0,0,0,7,20,852,0cfff748,0000000000000000
0,0,0,0,7,20,864,0cfff148,be05be05000000ff
0,0,0,0,7,20,864,0cfff848,00000000e8030000
0,0,0,0,7,20,872,0cfff248,0500040004000400
0,0,0,0,7,20,872,0cfff948,0000000000000000
0,0,0,0,7,20,882,0cfff348,0400040004001500
0,0,0,0,7,20,882,0cfffa48,000000000000ffff
0,0,0,0,7,20,892,0cfff448,0000000000000000
0,0,0,0,7,20,892,0cfffb48,0000000000000000
0,0,0,0,7,20,892,0cfff048,000000000e016400
0,0,0,0,7,20,892,0cfffc48,0000000000000000
0,0,0,0,7,20,892,0cfff148,be05be05000000ff
0,0,0,0,7,20,892,0cfffd48,e8035b050004e803
0,0,0,0,7,20,923,0cfffe48,e903e803ffffffff
0,0,0,0,7,20,932,0cffd048,0000000000000000
0,0,0,0,7,20,952,0cfff048,000000000e016400
0,0,0,0,7,20,952,0cfff748,0000000000000000
0,0,0,0,7,20,963,0cfff148,be05be05000000ff
0,0,0,0,7,20,963,0cfff848,00000000e8030000
0,0,0,0,7,20,975,0cfff248,0500040004000600
0,0,0,0,7,20,975,0cfff948,0000000000000000
0,0,0,0,7,20,984,0cfff348,0400040004001500
0,0,0,0,7,20,984,0cfffa48,000000000000ffff
0,0,0,0,7,20,992,0cfff448,0000000000000000
0,0,0,0,7,20,992,0cfffb48,0000000000000000
0,0,0,0,7,21,2,0cfff048,000000000e016400
0,0,0,0,7,21,2,0cfffc48,0000000000000000
0,0,0,0,7,21,15,0cfff148,be05be05000000ff
0,0,0,0,7,21,15,0cfffd48,e8035b050004e803
0,0,0,0,7,21,24,0cfffe48,e903e803ffffffff
0,0,0,0,7,21,32,0cffd048,0000000000000000
0,0,0,0,7,21,52,0cfff048,000000000e016400
0,0,0,0,7,21,52,0cfff748,0000000000000000
0,0,0,0,7,21,62,0cfff148,be05be05000000ff
0,0,0,0,7,21,62,0cfff848,00000000e8030000
0,0,0,0,7,21,72,0cfff248,0400050006000400
0,0,0,0,7,21,72,0cfff948,0000000000000000
0,0,0,0,7,21,82,0cfff348,0400040004001500
